crop_type	state	city	season	month	year	Modal_price
Wheat	Maharashtra	Mumbai	Kharif	1	2023	14.33
Wheat	Maharashtra	Mumbai	Kharif	2	2023	41.34
Wheat	Maharashtra	Mumbai	Kharif	3	2023	29.03
Wheat	Maharashtra	Mumbai	Kharif	4	2023	14.45
Wheat	Maharashtra	Mumbai	Kharif	5	2023	20.01
Wheat	Maharashtra	Mumbai	Kharif	6	2023	25.17
Wheat	Maharashtra	Mumbai	Kharif	7	2023	187.89
Wheat	Maharashtra	Mumbai	Kharif	8	2023	139.85
Wheat	Maharashtra	Mumbai	Kharif	9	2023	254.15
Wheat	Maharashtra	Mumbai	Kharif	10	2023	54.52
Wheat	Maharashtra	Mumbai	Kharif	11	2023	211.97
Wheat	Maharashtra	Mumbai	Kharif	12	2023	155.89
Wheat	Maharashtra	Mumbai	Kharif	1	2024	106.84
Wheat	Maharashtra	Mumbai	Kharif	2	2024	3.59
Wheat	Maharashtra	Mumbai	Kharif	3	2024	74.7
Wheat	Maharashtra	Mumbai	Kharif	4	2024	206.25
Wheat	Maharashtra	Mumbai	Kharif	5	2024	12.29
Wheat	Maharashtra	Mumbai	Kharif	6	2024	137.67
Wheat	Maharashtra	Mumbai	Kharif	7	2024	195.03
Wheat	Maharashtra	Mumbai	Kharif	8	2024	206.18
Wheat	Maharashtra	Mumbai	Kharif	9	2024	130.42
Wheat	Maharashtra	Mumbai	Kharif	10	2024	187.27
Wheat	Maharashtra	Mumbai	Kharif	11	2024	77.82
Wheat	Maharashtra	Mumbai	Kharif	12	2024	239.67
Wheat	Maharashtra	Mumbai	Rabi	1	2023	18.45
Wheat	Maharashtra	Mumbai	Rabi	2	2023	123.02
Wheat	Maharashtra	Mumbai	Rabi	3	2023	102.07
Wheat	Maharashtra	Mumbai	Rabi	4	2023	38.82
Wheat	Maharashtra	Mumbai	Rabi	5	2023	137.81
Wheat	Maharashtra	Mumbai	Rabi	6	2023	180.38
Wheat	Maharashtra	Mumbai	Rabi	7	2023	45.65
Wheat	Maharashtra	Mumbai	Rabi	8	2023	199.26
Wheat	Maharashtra	Mumbai	Rabi	9	2023	220.73
Wheat	Maharashtra	Mumbai	Rabi	10	2023	136.96
Wheat	Maharashtra	Mumbai	Rabi	11	2023	32.07
Wheat	Maharashtra	Mumbai	Rabi	12	2023	102.59
Wheat	Maharashtra	Mumbai	Rabi	1	2024	322.21
Wheat	Maharashtra	Mumbai	Rabi	2	2024	332.17
Wheat	Maharashtra	Mumbai	Rabi	3	2024	150.15
Wheat	Maharashtra	Mumbai	Rabi	4	2024	10.99
Wheat	Maharashtra	Mumbai	Rabi	5	2024	39.13
Wheat	Maharashtra	Mumbai	Rabi	6	2024	88.78
Wheat	Maharashtra	Mumbai	Rabi	7	2024	63.26
Wheat	Maharashtra	Mumbai	Rabi	8	2024	158.12
Wheat	Maharashtra	Mumbai	Rabi	9	2024	11.44
Wheat	Maharashtra	Mumbai	Rabi	10	2024	154.18
Wheat	Maharashtra	Mumbai	Rabi	11	2024	160.65
Wheat	Maharashtra	Mumbai	Rabi	12	2024	30.07
Wheat	Maharashtra	Mumbai	Zaid	1	2023	37.05
Wheat	Maharashtra	Mumbai	Zaid	2	2023	20.1
Wheat	Maharashtra	Mumbai	Zaid	3	2023	10.34
Wheat	Maharashtra	Mumbai	Zaid	4	2023	131.15
Wheat	Maharashtra	Mumbai	Zaid	5	2023	128.4
Wheat	Maharashtra	Mumbai	Zaid	6	2023	183.37
Wheat	Maharashtra	Mumbai	Zaid	7	2023	122.39
Wheat	Maharashtra	Mumbai	Zaid	8	2023	96.33
Wheat	Maharashtra	Mumbai	Zaid	9	2023	102.88
Wheat	Maharashtra	Mumbai	Zaid	10	2023	13.35
Wheat	Maharashtra	Mumbai	Zaid	11	2023	207.09
Wheat	Maharashtra	Mumbai	Zaid	12	2023	170.95
Wheat	Maharashtra	Mumbai	Zaid	1	2024	70.53
Wheat	Maharashtra	Mumbai	Zaid	2	2024	140.97
Wheat	Maharashtra	Mumbai	Zaid	3	2024	21.19
Wheat	Maharashtra	Mumbai	Zaid	4	2024	57.14
Wheat	Maharashtra	Mumbai	Zaid	5	2024	87.43
Wheat	Maharashtra	Mumbai	Zaid	6	2024	149.55
Wheat	Maharashtra	Mumbai	Zaid	7	2024	147.63
Wheat	Maharashtra	Mumbai	Zaid	8	2024	1.77
Wheat	Maharashtra	Mumbai	Zaid	9	2024	15.14
Wheat	Maharashtra	Mumbai	Zaid	10	2024	45.19
Wheat	Maharashtra	Mumbai	Zaid	11	2024	214.7
Wheat	Maharashtra	Mumbai	Zaid	12	2024	122.09
Wheat	Maharashtra	Mumbai	Post-Monsoon	1	2023	214.68
Wheat	Maharashtra	Mumbai	Post-Monsoon	2	2023	75.09
Wheat	Maharashtra	Mumbai	Post-Monsoon	3	2023	47.26
Wheat	Maharashtra	Mumbai	Post-Monsoon	4	2023	281.76
Wheat	Maharashtra	Mumbai	Post-Monsoon	5	2023	51.11
